"Catalogo de sismos - Servicio Sismologico Nacional (SSN) | UNAM - Mexico. DOI: 10.21766/SSNMX/EC/MX"
"Informacion sujeta a cambios. Archivo generado el 2022-10-11 a las 16:21:13 (tiempo del centro de Mexico)."
"Sismicidad del 1900-10-01 al 2022-10-11, mag. 5.0 a 9.9, todas las profundidades, en todo el pais."
"Total: 1774 eventos."
Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,"Referencia de localizacion","Fecha UTC","Hora UTC","Estatus"
1901-03-05,04:45:00,6.9,25.0,-110.0,33.0,"100 km al NORESTE de LA PAZ, BCS",1901-03-05,10:45:00,revisado
1901-12-08,20:17:00,7.0,26.0,-110.0,33.0,"83 km al OESTE de AHOME, SIN",1901-12-09,02:17:00,revisado
1902-01-16,17:19:00,7.0,17.62,-99.72,33.0,"21 km al OESTE de ZUMPANGO DEL RIO, GRO",1902-01-16,23:19:00,revisado
1902-04-18,20:23:00,7.5,14.9,-91.5,25.0,"72 km al ESTE de CACAHOATAN, CHIS",1902-04-19,02:23:00,revisado
1902-09-23,14:18:00,7.7,16.5,-92.5,25.0,"5 km al SUROESTE de TEOPISCA, CHIS",1902-09-23,20:18:00,revisado
1902-12-12,17:10:00,7.1,29.0,-114.0,33.0,"115 km al NORTE de GUERRERO NEGRO, BCS",1902-12-12,23:10:00,revisado
1903-01-13,19:47:36,7.6,15.0,-93.0,33.0,"50 km al SUR de MAPASTEPEC, CHIS",1903-01-14,01:47:36,revisado
1905-10-24,11:40:00,6.6,20.0,-110.0,33.0,"320 km al SUR de CABO SAN LUCAS, BCS",1905-10-24,17:40:00,revisado
1905-12-16,23:27:00,7.1,17.0,-113.0,33.0,"727 km al SUROESTE de CABO SAN LUCAS, BCS",1905-12-17,05:27:00,revisado
1906-04-10,15:18:00,7.1,20.0,-110.0,33.0,"320 km al SUR de CABO SAN LUCAS, BCS",1906-04-10,21:18:00,revisado
1907-04-15,00:08:06,7.6,16.7,-99.2,33.0,"23 km al SURESTE de SAN MARCOS, GRO",1907-04-15,06:08:06,revisado
1907-10-16,08:57:18,7.1,28.0,-112.5,10.0,"77 km al NOROESTE de SANTA ROSALIA, BCS",1907-10-16,14:57:18,revisado
1908-03-26,17:03:30,7.5,16.7,-99.2,33.0,"23 km al SURESTE de SAN MARCOS, GRO",1908-03-26,23:03:30,revisado
1908-03-26,21:45:30,7.0,17.0,-101.0,33.0,"46 km al SUROESTE de TECPAN, GRO",1908-03-27,03:45:30,revisado
1908-10-12,23:06:00,6.9,18.0,-102.0,33.0,"23 km al ESTE de LAS GUACAMAYAS, MICH",1908-10-13,05:06:00,revisado
1909-07-30,04:51:54,7.2,16.8,-99.9,33.0,"8 km al SUR de ACAPULCO, GRO",1909-07-30,10:51:54,revisado
1909-07-31,12:43:10,6.9,16.62,-99.45,33.0,"20 km al SUROESTE de SAN MARCOS, GRO",1909-07-31,18:43:10,revisado
1909-09-05,05:17:20,6.6,16.53,-99.72,33.0,"42 km al SURESTE de ACAPULCO, GRO",1909-09-05,11:17:20,revisado
1909-10-31,04:23:00,6.9,17.0,-101.2,33.0,"60 km al SUR de PETATLAN, GRO",1909-10-31,10:23:00,revisado
1910-05-30,22:19:19,6.5,16.7,-99.2,33.0,"23 km al SURESTE de SAN MARCOS, GRO",1910-05-31,04:19:19,revisado
1910-09-23,21:32:42,6.9,16.77,-95.9,80.0,"65 km al SURESTE de TLACOLULA, OAX",1910-09-24,03:32:42,revisado
1911-02-03,14:41:55,6.5,17.8,-97.6,80.0,"19 km al ESTE de H HUAJUAPAN DE LEON, OAX",1911-02-03,20:41:55,revisado
1911-06-07,05:02:42,7.6,17.5,-102.5,33.0,"59 km al SUROESTE de CD LAZARO CARDENAS, MICH",1911-06-07,11:02:42,revisado
1911-08-27,04:59:18,6.7,17.0,-96.0,100.0,"51 km al ESTE de TLACOLULA, OAX",1911-08-27,10:59:18,revisado
1911-12-16,13:14:18,7.5,16.9,-100.7,50.0,"36 km al SUR de TECPAN, GRO",1911-12-16,19:14:18,revisado
1912-11-19,07:55:07,6.9,19.93,-99.83,33.0,"15 km al NORESTE de ATLACOMULCO, MEX",1912-11-19,13:55:07,revisado
1912-12-09,02:32:24,7.0,15.5,-93.0,33.0,"13 km al NOROESTE de MAPASTEPEC, CHIS",1912-12-09,08:32:24,revisado
1914-03-29,18:41:18,7.2,17.0,-92.0,150.0,"14 km al NORESTE de OCOSINGO, CHIS",1914-03-30,00:41:18,revisado
1915-09-06,19:20:48,7.4,14.0,-89.0,80.0,"348 km al ESTE de CD HIDALGO, CHIS",1915-09-07,01:20:48,revisado
1915-11-20,18:13:22,7.0,32.0,-115.0,10.0,"33 km al SURESTE de GPE VICTORIA(KM.43), BC",1915-11-21,00:13:22,revisado
1916-06-02,07:59:24,7.0,17.5,-95.0,150.0,"42 km al SUR de SAYULA DE ALEMAN, VER",1916-06-02,13:59:24,revisado
1916-11-21,00:25:24,6.8,18.0,-100.0,33.0,"43 km al SUROESTE de TELOLOAPAN, GRO",1916-11-21,06:25:24,revisado
1917-12-29,16:50:20,6.9,15.0,-97.0,33.0,"96 km al SUR de PUERTO ESCONDIDO, OAX",1917-12-29,22:50:20,revisado
1918-05-23,05:57:30,6.8,27.0,-111.0,33.0,"102 km al SUR de H GUAYMAS, SON",1918-05-23,11:57:30,revisado
1918-06-07,15:27:06,6.6,18.7,-103.3,33.0,"17 km al SUROESTE de COALCOMAN, MICH",1918-06-07,21:27:06,revisado
1919-04-17,14:53:03,6.9,14.5,-91.75,33.0,"48 km al SURESTE de CD HIDALGO, CHIS",1919-04-17,20:53:03,revisado
1920-01-03,22:21:56,6.4,19.27,-96.97,10.0,"13 km al NORTE de HUATUSCO, VER",1920-01-04,04:21:56,revisado
1920-04-19,15:06:36,6.7,19.0,-97.0,110.0,"9 km al SURESTE de COSCOMATEPEC, VER",1920-04-19,21:06:36,revisado
1921-02-04,02:22:44,7.4,15.0,-91.0,120.0,"125 km al ESTE de CACAHOATAN, CHIS",1921-02-04,08:22:44,revisado
1921-04-21,14:01:36,6.5,18.2,-103.3,33.0,"65 km al SUR de COALCOMAN, MICH",1921-04-21,20:01:36,revisado
1922-06-11,22:47:44,6.7,24.0,-108.5,33.0,"117 km al SUROESTE de NAVOLATO, SIN",1922-06-12,04:47:44,revisado
1925-08-07,01:47:48,6.7,19.0,-102.0,100.0,"10 km al SURESTE de NUEVA ITALIA, MICH",1925-08-07,07:47:48,revisado
1925-11-16,05:54:54,7.0,18.0,-107.0,33.0,"291 km al SUROESTE de CIHUATLAN, JAL",1925-11-16,11:54:54,revisado
1925-12-10,08:14:42,7.0,15.5,-92.5,33.0,"31 km al NOROESTE de MOTOZINTLA, CHIS",1925-12-10,14:14:42,revisado
1928-02-09,22:39:37,6.5,18.26,-97.99,84.0,"9 km al NORESTE de ACATLAN DE OSORIO, PUE",1928-02-10,04:39:37,revisado
1928-03-21,22:17:30,7.5,15.67,-96.1,33.0,"12 km al SURESTE de CRUCECITA, OAX",1928-03-22,04:17:30,revisado
1928-04-16,21:25:27,6.7,17.69,-96.44,115.0,"55 km al SUROESTE de TUXTEPEC, OAX",1928-04-17,03:25:27,revisado
